e,M,M_label,method,root,iterations,residual,absolute_error,converged
0.05,0.1,0.1,Bisection,0.10525293350219728,19,1.7958261128159236e-09,1.889792933251755e-09,True
0.05,0.1,0.1,Regula Falsi,0.10525293528893048,2,9.793517385947581e-11,1.030597274187528e-10,True
0.05,0.1,0.1,Newton-Raphson,0.10525293539199418,2,3.858025010572419e-15,3.969047313034935e-15,True
0.1,0.1,0.1,Bisection,0.11108574867248536,21,6.429192511703263e-09,7.138658220107175e-09,True
0.1,0.1,0.1,Regula Falsi,0.11108573636763844,2,4.652754015399552e-09,5.1661886990572725e-09,True
0.1,0.1,0.1,Newton-Raphson,0.11108574153463782,2,7.301936832959655e-13,8.106848525812893e-13,True
0.15,0.1,0.1,Bisection,0.11759926080703736,22,2.308258834071708e-09,2.712292654361015e-09,True
0.15,0.1,0.1,Regula Falsi,0.11759925798299514,3,9.510282839020334e-11,1.1174956793258417e-10,True
0.15,0.1,0.1,Newton-Raphson,0.117599258115693,2,1.7827822551552686e-11,2.094828477350319e-11,True
0.2,0.1,0.1,Bisection,0.12491884231567385,21,6.137417379870058e-10,7.65685473358424e-10,True
0.2,0.1,0.1,Regula Falsi,0.12491884006978857,3,1.1864665777627792e-09,1.4801998099445157e-09,True
0.2,0.1,0.1,Newton-Raphson,0.1249188417816425,2,1.85684398412711e-10,2.3165412643688654e-10,True
0.25,0.1,0.1,Bisection,0.13320214152336118,23,6.999516050099075e-09,9.305212073096314e-09,True
0.25,0.1,0.1,Regula Falsi,0.1332021386597318,3,9.153579810794454e-09,1.2168841462267821e-08,True
0.25,0.1,0.1,Newton-Raphson,0.13320215242757552,2,1.2027928930624654e-09,1.5990022639300605e-09,True
0.3,0.1,0.1,Bisection,0.1426500201225281,23,5.949346126854493e-09,8.462228695549356e-09,True
0.3,0.1,0.1,Regula Falsi,0.1426500107556517,4,6.360099252811224e-10,9.046476900920197e-10,True
0.3,0.1,0.1,Newton-Raphson,0.1426500198151022,2,5.733211211333966e-09,8.154802805249162e-09,True
0.35,0.1,0.1,Bisection,0.15352181494235986,24,1.3947760446608726e-09,2.132305221280717e-09,True
0.35,0.1,0.1,Regula Falsi,0.153521805786691,4,4.5940977688729845e-09,7.023363640668023e-09,True
0.35,0.1,0.1,Newton-Raphson,0.15352181281005456,3,2.7755575615628914e-17,8.326672684688674e-17,True
0.4,0.1,0.1,Bisection,0.16615767478942878,23,5.857089618865885e-09,9.673001927223979e-09,True
0.4,0.1,0.1,Regula Falsi,0.16615766381251829,5,7.895282760905786e-10,1.3039085644539483e-09,True
0.4,0.1,0.1,Newton-Raphson,0.1661576651164275,3,4.579669976578771e-16,6.38378239159465e-16,True
0.45,0.1,0.1,Bisection,0.18101075887680057,22,8.711821680718046e-10,1.5630737260075023e-09,True
0.45,0.1,0.1,Regula Falsi,0.18101075010413187,5,5.76064655699593e-09,1.0335742428591033e-08,True
0.45,0.1,0.1,Newton-Raphson,0.18101076043988365,3,5.315192730392937e-15,9.353628982466944e-15,True
0.5,0.1,0.1,Bisection,0.19869515895843504,22,6.509332309279081e-09,1.2767464585561328e-08,True
0.5,0.1,0.1,Regula Falsi,0.19869516749802185,6,2.155530601233302e-09,4.22787777010214e-09,True
0.5,0.1,0.1,Newton-Raphson,0.19869517172599438,3,4.839184608584901e-14,9.475753515175711e-14,True
0.55,0.1,0.1,Bisection,0.22005676329135893,24,3.4570747514672817e-09,7.462441525829533e-09,True
0.55,0.1,0.1,Regula Falsi,0.2200567529411625,7,1.3377905311307003e-09,2.8877548963190947e-09,True
0.55,0.1,0.1,Newton-Raphson,0.2200567558296742,3,3.506916979034713e-13,7.568112803113536e-13,True
0.6,0.1,0.1,Bisection,0.2462769865989685,24,8.29462026841199e-10,1.9838658771309525e-09,True
0.6,0.1,0.1,Regula Falsi,0.24627698547343663,8,1.3000513165994931e-09,3.1093977392870897e-09,True
0.6,0.1,0.1,Newton-Raphson,0.24627698858754046,3,1.967731533270012e-12,4.7060966235079604e-12,True
0.65,0.1,0.1,Bisection,0.2790170401334763,24,3.4498742196298338e-09,9.196288064394764e-09,True
0.65,0.1,0.1,Regula Falsi,0.2790170444150909,9,1.8436791815457099e-09,4.914673445988171e-09,True
0.65,0.1,0.1,Newton-Raphson,0.2790170493508061,3,7.893657949509247e-12,2.1041779429964436e-11,True
0.7,0.1,0.1,Bisection,0.320585823059082,19,9.637062703404808e-09,2.871041754337611e-08,True
0.7,0.1,0.1,Regula Falsi,0.32058578407084604,10,3.449896729401658e-09,1.0277818429660357e-08,True
